ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,maxtempC,mintempC,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
Airport ATM,2017-02-25,20,14,6,60900,54600,6300,SATURDAY,NH,H,WHH,35,17,11.6,7,0,05:31 AM,05:30 PM,06:41 AM,06:32 PM,8,28,28,28,11,2,34,0.0,1013,35,10,115,8
KK Nagar ATM,2017-02-25,9,4,5,50600,25100,25500,SATURDAY,NH,H,WHH,35,17,11.6,7,0,05:31 AM,05:30 PM,06:41 AM,06:32 PM,8,28,28,28,11,2,34,0.0,1013,35,10,115,8
Christ College ATM,2017-02-25,187,44,143,792600,244300,548300,SATURDAY,NH,H,WHH,35,17,11.6,7,0,05:31 AM,05:30 PM,06:41 AM,06:32 PM,8,28,28,28,11,2,34,0.0,1013,35,10,115,8
Big Street ATM,2017-02-26,97,23,74,294300,102300,192000,SUNDAY,NH,H,HHW,33,19,11.6,7,0,06:18 AM,06:24 PM,06:40 AM,06:32 PM,10,27,27,27,13,5,37,0.0,1012,33,10,93,8
Mount Road ATM,2017-02-26,125,29,96,241000,64700,176300,SUNDAY,NH,H,HHW,33,19,11.6,7,0,06:18 AM,06:24 PM,06:40 AM,06:32 PM,10,27,27,27,13,5,37,0.0,1012,33,10,93,8
Christ College ATM,2017-02-26,119,24,95,640000,140000,500000,SUNDAY,NH,H,HHW,33,19,11.6,7,0,06:18 AM,06:24 PM,06:40 AM,06:32 PM,10,27,27,27,13,5,37,0.0,1012,33,10,93,8
Big Street ATM,2017-02-27,78,21,57,203300,59400,143900,MONDAY,NH,W,HWW,33,18,11.6,6,5,07:05 AM,07:19 PM,06:40 AM,06:32 PM,9,25,25,25,19,13,40,0.0,1012,33,10,93,13
Mount Road ATM,2017-02-27,124,45,79,394600,214100,180500,MONDAY,NH,W,HWW,33,18,11.6,6,5,07:05 AM,07:19 PM,06:40 AM,06:32 PM,9,25,25,25,19,13,40,0.0,1012,33,10,93,13
Airport ATM,2017-02-27,4,3,1,4000,3500,500,MONDAY,NH,W,HWW,33,18,11.6,6,5,07:05 AM,07:19 PM,06:40 AM,06:32 PM,9,25,25,25,19,13,40,0.0,1012,33,10,93,13
KK Nagar ATM,2017-02-27,62,41,21,464300,384700,79600,MONDAY,NH,W,HWW,33,18,11.6,6,5,07:05 AM,07:19 PM,06:40 AM,06:32 PM,9,25,25,25,19,13,40,0.0,1012,33,10,93,13
Christ College ATM,2017-02-27,70,22,48,362600,152600,210000,MONDAY,NH,W,HWW,33,18,11.6,6,5,07:05 AM,07:19 PM,06:40 AM,06:32 PM,9,25,25,25,19,13,40,0.0,1012,33,10,93,13
Big Street ATM,2017-02-28,3,3,0,16100,16100,0,TUESDAY,NH,W,WWW,33,17,11.6,6,12,07:52 AM,08:14 PM,06:39 AM,06:32 PM,7,25,25,26,19,1,37,0.0,1013,33,10,83,13
Mount Road ATM,2017-02-28,171,59,112,458600,186600,272000,TUESDAY,NH,W,WWW,33,17,11.6,6,12,07:52 AM,08:14 PM,06:39 AM,06:32 PM,7,25,25,26,19,1,37,0.0,1013,33,10,83,13
Airport ATM,2017-02-28,13,12,1,24000,18500,5500,TUESDAY,NH,W,WWW,33,17,11.6,6,12,07:52 AM,08:14 PM,06:39 AM,06:32 PM,7,25,25,26,19,1,37,0.0,1013,33,10,83,13
KK Nagar ATM,2017-02-28,7,4,3,31500,18000,13500,TUESDAY,NH,W,WWW,33,17,11.6,6,12,07:52 AM,08:14 PM,06:39 AM,06:32 PM,7,25,25,26,19,1,37,0.0,1013,33,10,83,13
Christ College ATM,2017-02-28,223,57,166,1021500,315500,706000,TUESDAY,NH,W,WWW,33,17,11.6,6,12,07:52 AM,08:14 PM,06:39 AM,06:32 PM,7,25,25,26,19,1,37,0.0,1013,33,10,83,13
Big Street ATM,2017-03-01,46,15,31,156000,91700,64300,WEDNESDAY,NH,W,WWW,34,16,11.6,6,19,08:39 AM,09:10 PM,06:39 AM,06:32 PM,5,26,26,26,21,0,32,0.0,1013,34,10,91,14
Mount Road ATM,2017-03-01,4,3,1,31000,28000,3000,WEDNESDAY,NH,W,WWW,34,16,11.6,6,19,08:39 AM,09:10 PM,06:39 AM,06:32 PM,5,26,26,26,21,0,32,0.0,1013,34,10,91,14
Airport ATM,2017-03-01,6,4,2,23300,21200,2100,WEDNESDAY,NH,W,WWW,34,16,11.6,6,19,08:39 AM,09:10 PM,06:39 AM,06:32 PM,5,26,26,26,21,0,32,0.0,1013,34,10,91,14
KK Nagar ATM,2017-03-01,9,5,4,42400,20400,22000,WEDNESDAY,NH,W,WWW,34,16,11.6,6,19,08:39 AM,09:10 PM,06:39 AM,06:32 PM,5,26,26,26,21,0,32,0.0,1013,34,10,91,14
Christ College ATM,2017-03-01,275,56,219,1539900,360900,1179000,WEDNESDAY,NH,W,WWW,34,16,11.6,6,19,08:39 AM,09:10 PM,06:39 AM,06:32 PM,5,26,26,26,21,0,32,0.0,1013,34,10,91,14
Big Street ATM,2017-03-02,110,29,81,515000,225100,289900,THURSDAY,NH,W,WWW,33,15,11.6,6,26,09:27 AM,10:06 PM,06:38 AM,06:33 PM,8,26,26,26,17,2,37,0.0,1011,33,10,89,12
Airport ATM,2017-03-02,1,1,0,3000,3000,0,THURSDAY,NH,W,WWW,33,15,11.6,6,26,09:27 AM,10:06 PM,06:38 AM,06:33 PM,8,26,26,26,17,2,37,0.0,1011,33,10,89,12
KK Nagar ATM,2017-03-02,32,14,18,225500,108400,117100,THURSDAY,NH,W,WWW,33,15,11.6,6,26,09:27 AM,10:06 PM,06:38 AM,06:33 PM,8,26,26,26,17,2,37,0.0,1011,33,10,89,12
Christ College ATM,2017-03-02,301,64,237,1614300,382600,1231700,THURSDAY,NH,W,WWW,33,15,11.6,6,26,09:27 AM,10:06 PM,06:38 AM,06:33 PM,8,26,26,26,17,2,37,0.0,1011,33,10,89,12
Big Street ATM,2017-03-03,79,32,47,286200,150300,135900,FRIDAY,NH,W,WWH,33,19,11.6,7,34,10:16 AM,11:04 PM,06:38 AM,06:33 PM,13,27,27,26,14,11,48,0.0,1009,33,10,114,10
Airport ATM,2017-03-03,9,8,1,18300,17800,500,FRIDAY,NH,W,WWH,33,19,11.6,7,34,10:16 AM,11:04 PM,06:38 AM,06:33 PM,13,27,27,26,14,11,48,0.0,1009,33,10,114,10
KK Nagar ATM,2017-03-03,2,2,0,7000,7000,0,FRIDAY,NH,W,WWH,33,19,11.6,7,34,10:16 AM,11:04 PM,06:38 AM,06:33 PM,13,27,27,26,14,11,48,0.0,1009,33,10,114,10
Christ College ATM,2017-03-03,140,37,103,673200,157600,515600,FRIDAY,NH,W,WWH,33,19,11.6,7,34,10:16 AM,11:04 PM,06:38 AM,06:33 PM,13,27,27,26,14,11,48,0.0,1009,33,10,114,10
Big Street ATM,2017-03-04,74,15,59,253500,76800,176700,SATURDAY,NH,H,WHH,33,19,11.6,7,41,11:08 AM,No moonset,06:37 AM,06:33 PM,16,28,28,27,8,28,55,0.6,1009,33,10,156,6
Mount Road ATM,2017-03-04,1,1,0,2000,2000,0,SATURDAY,NH,H,WHH,33,19,11.6,7,41,11:08 AM,No moonset,06:37 AM,06:33 PM,16,28,28,27,8,28,55,0.6,1009,33,10,156,6
Airport ATM,2017-03-04,54,30,24,151800,73500,78300,SATURDAY,NH,H,WHH,33,19,11.6,7,41,11:08 AM,No moonset,06:37 AM,06:33 PM,16,28,28,27,8,28,55,0.6,1009,33,10,156,6
KK Nagar ATM,2017-03-04,21,18,3,237800,217300,20500,SATURDAY,NH,H,WHH,33,19,11.6,7,41,11:08 AM,No moonset,06:37 AM,06:33 PM,16,28,28,27,8,28,55,0.6,1009,33,10,156,6
Christ College ATM,2017-03-04,264,97,167,1462500,585200,877300,SATURDAY,NH,H,WHH,33,19,11.6,7,41,11:08 AM,No moonset,06:37 AM,06:33 PM,16,28,28,27,8,28,55,0.6,1009,33,10,156,6
Big Street ATM,2017-03-05,69,15,54,309200,87700,221500,SUNDAY,NH,H,HHW,34,20,11.6,7,48,12:01 PM,12:02 AM,06:37 AM,06:33 PM,18,29,29,27,7,37,60,2.8,1010,34,10,231,5
Airport ATM,2017-03-05,101,71,30,573300,489600,83700,SUNDAY,NH,H,HHW,34,20,11.6,7,48,12:01 PM,12:02 AM,06:37 AM,06:33 PM,18,29,29,27,7,37,60,2.8,1010,34,10,231,5
KK Nagar ATM,2017-03-05,1,1,0,100,100,0,SUNDAY,NH,H,HHW,34,20,11.6,7,48,12:01 PM,12:02 AM,06:37 AM,06:33 PM,18,29,29,27,7,37,60,2.8,1010,34,10,231,5
Christ College ATM,2017-03-05,139,35,104,511500,163600,347900,SUNDAY,NH,H,HHW,34,20,11.6,7,48,12:01 PM,12:02 AM,06:37 AM,06:33 PM,18,29,29,27,7,37,60,2.8,1010,34,10,231,5
Big Street ATM,2017-03-06,79,28,51,249100,96100,153000,MONDAY,NH,W,HWW,33,22,11.6,7,55,12:57 PM,01:01 AM,06:36 AM,06:33 PM,18,28,28,27,11,30,61,4.6,1009,33,10,237,8
Mount Road ATM,2017-03-06,150,54,96,621800,301700,320100,MONDAY,NH,W,HWW,33,22,11.6,7,55,12:57 PM,01:01 AM,06:36 AM,06:33 PM,18,28,28,27,11,30,61,4.6,1009,33,10,237,8
Airport ATM,2017-03-06,56,44,12,249100,224400,24700,MONDAY,NH,W,HWW,33,22,11.6,7,55,12:57 PM,01:01 AM,06:36 AM,06:33 PM,18,28,28,27,11,30,61,4.6,1009,33,10,237,8
Christ College ATM,2017-03-06,225,51,174,936100,264500,671600,MONDAY,NH,W,HWW,33,22,11.6,7,55,12:57 PM,01:01 AM,06:36 AM,06:33 PM,18,28,28,27,11,30,61,4.6,1009,33,10,237,8
Big Street ATM,2017-03-07,55,23,32,244800,152500,92300,TUESDAY,NH,W,WWW,31,21,11.6,6,63,01:54 PM,01:59 AM,06:35 AM,06:33 PM,19,28,28,26,9,25,66,10.8,1009,31,9,230,6
Mount Road ATM,2017-03-07,21,14,7,159500,143500,16000,TUESDAY,NH,W,WWW,31,21,11.6,6,63,01:54 PM,01:59 AM,06:35 AM,06:33 PM,19,28,28,26,9,25,66,10.8,1009,31,9,230,6
Airport ATM,2017-03-07,3,3,0,10600,10600,0,TUESDAY,NH,W,WWW,31,21,11.6,6,63,01:54 PM,01:59 AM,06:35 AM,06:33 PM,19,28,28,26,9,25,66,10.8,1009,31,9,230,6
Christ College ATM,2017-03-07,173,55,118,1090500,479300,611200,TUESDAY,NH,W,WWW,31,21,11.6,6,63,01:54 PM,01:59 AM,06:35 AM,06:33 PM,19,28,28,26,9,25,66,10.8,1009,31,9,230,6
Big Street ATM,2017-03-08,69,35,34,252500,188700,63800,WEDNESDAY,NH,W,WWW,32,21,11.6,6,70,02:51 PM,02:56 AM,06:35 AM,06:33 PM,18,29,29,27,7,26,59,1.3,1009,32,10,186,5
Christ College ATM,2017-03-08,202,65,137,843000,347600,495400,WEDNESDAY,NH,W,WWW,32,21,11.6,6,70,02:51 PM,02:56 AM,06:35 AM,06:33 PM,18,29,29,27,7,26,59,1.3,1009,32,10,186,5
Big Street ATM,2017-03-09,81,23,58,327500,162400,165100,THURSDAY,NH,W,WWW,33,21,11.6,7,77,03:48 PM,03:50 AM,06:34 AM,06:33 PM,17,29,29,27,9,26,54,0.0,1009,33,10,217,6
Christ College ATM,2017-03-09,267,70,197,1175700,378100,797600,THURSDAY,NH,W,WWW,33,21,11.6,7,77,03:48 PM,03:50 AM,06:34 AM,06:33 PM,17,29,29,27,9,26,54,0.0,1009,33,10,217,6
Big Street ATM,2017-03-10,67,20,47,207400,80300,127100,FRIDAY,NH,W,WWH,33,21,11.6,7,85,04:43 PM,04:41 AM,06:34 AM,06:33 PM,16,28,28,27,12,16,53,0.0,1010,33,10,244,9
Mount Road ATM,2017-03-10,46,19,27,131800,65000,66800,FRIDAY,NH,W,WWH,33,21,11.6,7,85,04:43 PM,04:41 AM,06:34 AM,06:33 PM,16,28,28,27,12,16,53,0.0,1010,33,10,244,9
Christ College ATM,2017-03-10,135,34,101,734500,242100,492400,FRIDAY,NH,W,WWH,33,21,11.6,7,85,04:43 PM,04:41 AM,06:34 AM,06:33 PM,16,28,28,27,12,16,53,0.0,1010,33,10,244,9
Mount Road ATM,2017-03-11,107,29,78,362200,122300,239900,SATURDAY,NH,H,WHH,34,20,11.6,7,92,05:37 PM,05:29 AM,06:33 AM,06:33 PM,14,28,28,28,9,7,47,0.0,1011,34,10,255,7
Big Street ATM,2017-03-12,85,18,67,241900,92700,149200,SUNDAY,NH,H,HHW,35,20,11.6,7,99,06:28 PM,06:14 AM,06:32 AM,06:34 PM,14,29,29,28,8,7,47,0.0,1012,35,10,168,6
Mount Road ATM,2017-03-12,77,27,50,147000,63300,83700,SUNDAY,NH,H,HHW,35,20,11.6,7,99,06:28 PM,06:14 AM,06:32 AM,06:34 PM,14,29,29,28,8,7,47,0.0,1012,35,10,168,6
Big Street ATM,2017-03-13,29,10,19,109100,53800,55300,MONDAY,NH,W,HWW,34,20,11.6,7,100,07:18 PM,06:57 AM,06:32 AM,06:34 PM,16,29,29,28,9,17,52,0.0,1012,34,10,221,6
Mount Road ATM,2017-03-13,85,32,53,389400,221700,167700,MONDAY,NH,W,HWW,34,20,11.6,7,100,07:18 PM,06:57 AM,06:32 AM,06:34 PM,16,29,29,28,9,17,52,0.0,1012,34,10,221,6
Christ College ATM,2017-03-13,287,79,208,1255800,491600,764200,MONDAY,NH,W,HWW,34,20,11.6,7,100,07:18 PM,06:57 AM,06:32 AM,06:34 PM,16,29,29,28,9,17,52,0.0,1012,34,10,221,6
Big Street ATM,2017-03-14,99,35,64,288500,127200,161300,TUESDAY,NH,W,WWW,32,21,11.6,7,86,08:07 PM,07:39 AM,06:31 AM,06:34 PM,18,28,28,27,8,24,63,3.4,1012,32,10,174,6
Mount Road ATM,2017-03-14,52,24,28,277600,182600,95000,TUESDAY,NH,W,WWW,32,21,11.6,7,86,08:07 PM,07:39 AM,06:31 AM,06:34 PM,18,28,28,27,8,24,63,3.4,1012,32,10,174,6
Airport ATM,2017-03-14,32,23,9,86400,74800,11600,TUESDAY,NH,W,WWW,32,21,11.6,7,86,08:07 PM,07:39 AM,06:31 AM,06:34 PM,18,28,28,27,8,24,63,3.4,1012,32,10,174,6
KK Nagar ATM,2017-03-14,1,1,0,400,400,0,TUESDAY,NH,W,WWW,32,21,11.6,7,86,08:07 PM,07:39 AM,06:31 AM,06:34 PM,18,28,28,27,8,24,63,3.4,1012,32,10,174,6
Christ College ATM,2017-03-14,226,60,166,1189300,386800,802500,TUESDAY,NH,W,WWW,32,21,11.6,7,86,08:07 PM,07:39 AM,06:31 AM,06:34 PM,18,28,28,27,8,24,63,3.4,1012,32,10,174,6
Big Street ATM,2017-03-15,80,28,52,334500,219500,115000,WEDNESDAY,NH,W,WWW,30,21,11.6,7,79,08:55 PM,08:20 AM,06:31 AM,06:34 PM,19,28,28,26,11,24,66,9.7,1013,30,9,137,8
Mount Road ATM,2017-03-15,45,16,29,208600,78500,130100,WEDNESDAY,NH,W,WWW,30,21,11.6,7,79,08:55 PM,08:20 AM,06:31 AM,06:34 PM,19,28,28,26,11,24,66,9.7,1013,30,9,137,8
Airport ATM,2017-03-15,99,69,30,597700,490400,107300,WEDNESDAY,NH,W,WWW,30,21,11.6,7,79,08:55 PM,08:20 AM,06:31 AM,06:34 PM,19,28,28,26,11,24,66,9.7,1013,30,9,137,8
Christ College ATM,2017-03-15,249,74,175,1231100,506500,724600,WEDNESDAY,NH,W,WWW,30,21,11.6,7,79,08:55 PM,08:20 AM,06:31 AM,06:34 PM,19,28,28,26,11,24,66,9.7,1013,30,9,137,8
Big Street ATM,2017-03-16,35,18,17,209900,160000,49900,THURSDAY,NH,W,WWW,31,21,11.6,7,72,09:43 PM,09:01 AM,06:30 AM,06:34 PM,18,27,27,26,7,24,66,2.3,1013,31,10,192,6
Mount Road ATM,2017-03-16,78,37,41,354500,222500,132000,THURSDAY,NH,W,WWW,31,21,11.6,7,72,09:43 PM,09:01 AM,06:30 AM,06:34 PM,18,27,27,26,7,24,66,2.3,1013,31,10,192,6
Airport ATM,2017-03-16,63,43,20,235500,182400,53100,THURSDAY,NH,W,WWW,31,21,11.6,7,72,09:43 PM,09:01 AM,06:30 AM,06:34 PM,18,27,27,26,7,24,66,2.3,1013,31,10,192,6
Christ College ATM,2017-03-16,213,49,164,957500,326500,631000,THURSDAY,NH,W,WWW,31,21,11.6,7,72,09:43 PM,09:01 AM,06:30 AM,06:34 PM,18,27,27,26,7,24,66,2.3,1013,31,10,192,6
Big Street ATM,2017-03-17,7,6,1,39600,37600,2000,FRIDAY,NH,W,WWH,33,21,11.6,7,65,10:30 PM,09:43 AM,06:29 AM,06:34 PM,17,29,29,27,8,23,58,0.6,1012,33,10,192,5
Mount Road ATM,2017-03-17,154,56,98,408400,205800,202600,FRIDAY,NH,W,WWH,33,21,11.6,7,65,10:30 PM,09:43 AM,06:29 AM,06:34 PM,17,29,29,27,8,23,58,0.6,1012,33,10,192,5
Airport ATM,2017-03-17,109,76,33,684400,548900,135500,FRIDAY,NH,W,WWH,33,21,11.6,7,65,10:30 PM,09:43 AM,06:29 AM,06:34 PM,17,29,29,27,8,23,58,0.6,1012,33,10,192,5
KK Nagar ATM,2017-03-17,28,20,8,232900,202600,30300,FRIDAY,NH,W,WWH,33,21,11.6,7,65,10:30 PM,09:43 AM,06:29 AM,06:34 PM,17,29,29,27,8,23,58,0.6,1012,33,10,192,5
Christ College ATM,2017-03-17,194,46,148,808200,335200,473000,FRIDAY,NH,W,WWH,33,21,11.6,7,65,10:30 PM,09:43 AM,06:29 AM,06:34 PM,17,29,29,27,8,23,58,0.6,1012,33,10,192,5
Big Street ATM,2017-03-18,6,3,3,12800,9100,3700,SATURDAY,NH,H,WHH,34,21,11.6,7,57,11:19 PM,10:25 AM,06:29 AM,06:34 PM,17,29,29,28,10,12,56,0.5,1013,34,10,207,7
Mount Road ATM,2017-03-18,61,16,45,226300,120800,105500,SATURDAY,NH,H,WHH,34,21,11.6,7,57,11:19 PM,10:25 AM,06:29 AM,06:34 PM,17,29,29,28,10,12,56,0.5,1013,34,10,207,7
Airport ATM,2017-03-18,106,66,40,530900,404900,126000,SATURDAY,NH,H,WHH,34,21,11.6,7,57,11:19 PM,10:25 AM,06:29 AM,06:34 PM,17,29,29,28,10,12,56,0.5,1013,34,10,207,7
KK Nagar ATM,2017-03-18,53,29,24,305900,193600,112300,SATURDAY,NH,H,WHH,34,21,11.6,7,57,11:19 PM,10:25 AM,06:29 AM,06:34 PM,17,29,29,28,10,12,56,0.5,1013,34,10,207,7
Christ College ATM,2017-03-18,217,72,145,940600,520300,420300,SATURDAY,NH,H,WHH,34,21,11.6,7,57,11:19 PM,10:25 AM,06:29 AM,06:34 PM,17,29,29,28,10,12,56,0.5,1013,34,10,207,7
Big Street ATM,2017-03-19,80,20,60,215000,99700,115300,SUNDAY,NH,H,HHW,34,21,11.6,7,50,No moonrise,11:09 AM,06:28 AM,06:34 PM,16,29,29,28,11,5,53,0.1,1013,34,10,248,8
Mount Road ATM,2017-03-19,48,12,36,52100,6700,45400,SUNDAY,NH,H,HHW,34,21,11.6,7,50,No moonrise,11:09 AM,06:28 AM,06:34 PM,16,29,29,28,11,5,53,0.1,1013,34,10,248,8
KK Nagar ATM,2017-03-19,9,7,2,32900,25900,7000,SUNDAY,NH,H,HHW,34,21,11.6,7,50,No moonrise,11:09 AM,06:28 AM,06:34 PM,16,29,29,28,11,5,53,0.1,1013,34,10,248,8
Christ College ATM,2017-03-19,281,39,242,965500,171200,794300,SUNDAY,NH,H,HHW,34,21,11.6,7,50,No moonrise,11:09 AM,06:28 AM,06:34 PM,16,29,29,28,11,5,53,0.1,1013,34,10,248,8
Big Street ATM,2017-03-20,36,11,25,141600,45200,96400,MONDAY,NH,W,HWW,34,21,11.6,7,43,12:07 AM,11:55 AM,06:27 AM,06:34 PM,17,29,29,28,9,19,57,2.4,1012,34,10,215,6
Mount Road ATM,2017-03-20,67,27,40,158100,107100,51000,MONDAY,NH,W,HWW,34,21,11.6,7,43,12:07 AM,11:55 AM,06:27 AM,06:34 PM,17,29,29,28,9,19,57,2.4,1012,34,10,215,6
Airport ATM,2017-03-20,45,24,21,141800,90400,51400,MONDAY,NH,W,HWW,34,21,11.6,7,43,12:07 AM,11:55 AM,06:27 AM,06:34 PM,17,29,29,28,9,19,57,2.4,1012,34,10,215,6
KK Nagar ATM,2017-03-20,84,51,33,512400,380300,132100,MONDAY,NH,W,HWW,34,21,11.6,7,43,12:07 AM,11:55 AM,06:27 AM,06:34 PM,17,29,29,28,9,19,57,2.4,1012,34,10,215,6
Christ College ATM,2017-03-20,191,44,147,854500,221400,633100,MONDAY,NH,W,HWW,34,21,11.6,7,43,12:07 AM,11:55 AM,06:27 AM,06:34 PM,17,29,29,28,9,19,57,2.4,1012,34,10,215,6
Big Street ATM,2017-03-21,16,5,11,60100,50100,10000,TUESDAY,NH,W,WWW,32,22,10.2,6,35,12:55 AM,12:43 PM,06:27 AM,06:34 PM,18,28,28,27,9,47,60,4.0,1013,32,10,189,6
Mount Road ATM,2017-03-21,54,22,32,148000,108600,39400,TUESDAY,NH,W,WWW,32,22,10.2,6,35,12:55 AM,12:43 PM,06:27 AM,06:34 PM,18,28,28,27,9,47,60,4.0,1013,32,10,189,6
Airport ATM,2017-03-21,28,25,3,141300,139600,1700,TUESDAY,NH,W,WWW,32,22,10.2,6,35,12:55 AM,12:43 PM,06:27 AM,06:34 PM,18,28,28,27,9,47,60,4.0,1013,32,10,189,6
KK Nagar ATM,2017-03-21,43,27,16,310600,265700,44900,TUESDAY,NH,W,WWW,32,22,10.2,6,35,12:55 AM,12:43 PM,06:27 AM,06:34 PM,18,28,28,27,9,47,60,4.0,1013,32,10,189,6
Christ College ATM,2017-03-21,137,45,92,593400,319300,274100,TUESDAY,NH,W,WWW,32,22,10.2,6,35,12:55 AM,12:43 PM,06:27 AM,06:34 PM,18,28,28,27,9,47,60,4.0,1013,32,10,189,6
Big Street ATM,2017-03-22,79,33,46,287300,166000,121300,WEDNESDAY,NH,W,WWW,31,22,11.6,7,28,01:44 AM,01:33 PM,06:26 AM,06:34 PM,16,28,28,27,10,24,53,0.0,1013,31,10,152,7
Mount Road ATM,2017-03-22,54,25,29,257900,160800,97100,WEDNESDAY,NH,W,WWW,31,22,11.6,7,28,01:44 AM,01:33 PM,06:26 AM,06:34 PM,16,28,28,27,10,24,53,0.0,1013,31,10,152,7
Airport ATM,2017-03-22,60,38,22,189400,137200,52200,WEDNESDAY,NH,W,WWW,31,22,11.6,7,28,01:44 AM,01:33 PM,06:26 AM,06:34 PM,16,28,28,27,10,24,53,0.0,1013,31,10,152,7
KK Nagar ATM,2017-03-22,45,39,6,186600,179600,7000,WEDNESDAY,NH,W,WWW,31,22,11.6,7,28,01:44 AM,01:33 PM,06:26 AM,06:34 PM,16,28,28,27,10,24,53,0.0,1013,31,10,152,7
Christ College ATM,2017-03-22,109,26,83,407600,102000,305600,WEDNESDAY,NH,W,WWW,31,22,11.6,7,28,01:44 AM,01:33 PM,06:26 AM,06:34 PM,16,28,28,27,10,24,53,0.0,1013,31,10,152,7
Big Street ATM,2017-03-23,82,29,53,275000,94200,180800,THURSDAY,NH,W,WWW,33,21,11.6,7,21,02:32 AM,02:23 PM,06:26 AM,06:34 PM,15,28,28,28,10,7,49,0.0,1012,33,10,139,8
Mount Road ATM,2017-03-23,68,20,48,211000,123700,87300,THURSDAY,NH,W,WWW,33,21,11.6,7,21,02:32 AM,02:23 PM,06:26 AM,06:34 PM,15,28,28,28,10,7,49,0.0,1012,33,10,139,8
Airport ATM,2017-03-23,69,49,20,329900,244200,85700,THURSDAY,NH,W,WWW,33,21,11.6,7,21,02:32 AM,02:23 PM,06:26 AM,06:34 PM,15,28,28,28,10,7,49,0.0,1012,33,10,139,8
KK Nagar ATM,2017-03-23,105,71,34,633700,500400,133300,THURSDAY,NH,W,WWW,33,21,11.6,7,21,02:32 AM,02:23 PM,06:26 AM,06:34 PM,15,28,28,28,10,7,49,0.0,1012,33,10,139,8
Christ College ATM,2017-03-23,159,41,118,640800,252300,388500,THURSDAY,NH,W,WWW,33,21,11.6,7,21,02:32 AM,02:23 PM,06:26 AM,06:34 PM,15,28,28,28,10,7,49,0.0,1012,33,10,139,8
Big Street ATM,2017-03-24,53,14,39,133800,75600,58200,FRIDAY,NH,W,WWH,34,20,11.6,7,14,03:20 AM,03:16 PM,06:25 AM,06:34 PM,14,29,29,29,12,2,45,0.0,1012,34,10,151,8
Mount Road ATM,2017-03-24,63,24,39,202300,119800,82500,FRIDAY,NH,W,WWH,34,20,11.6,7,14,03:20 AM,03:16 PM,06:25 AM,06:34 PM,14,29,29,29,12,2,45,0.0,1012,34,10,151,8
Airport ATM,2017-03-24,65,51,14,400700,357100,43600,FRIDAY,NH,W,WWH,34,20,11.6,7,14,03:20 AM,03:16 PM,06:25 AM,06:34 PM,14,29,29,29,12,2,45,0.0,1012,34,10,151,8
KK Nagar ATM,2017-03-24,69,41,28,402100,253400,148700,FRIDAY,NH,W,WWH,34,20,11.6,7,14,03:20 AM,03:16 PM,06:25 AM,06:34 PM,14,29,29,29,12,2,45,0.0,1012,34,10,151,8
Christ College ATM,2017-03-24,161,49,112,631900,259600,372300,FRIDAY,NH,W,WWH,34,20,11.6,7,14,03:20 AM,03:16 PM,06:25 AM,06:34 PM,14,29,29,29,12,2,45,0.0,1012,34,10,151,8
Big Street ATM,2017-03-25,79,17,62,255400,117600,137800,SATURDAY,NH,H,WHH,35,19,11.6,7,6,04:07 AM,04:10 PM,06:24 AM,06:34 PM,12,29,29,30,11,0,42,0.0,1012,35,10,167,9
Mount Road ATM,2017-03-25,76,25,51,245500,130600,114900,SATURDAY,NH,H,WHH,35,19,11.6,7,6,04:07 AM,04:10 PM,06:24 AM,06:34 PM,12,29,29,30,11,0,42,0.0,1012,35,10,167,9
Airport ATM,2017-03-25,57,37,20,341800,292600,49200,SATURDAY,NH,H,WHH,35,19,11.6,7,6,04:07 AM,04:10 PM,06:24 AM,06:34 PM,12,29,29,30,11,0,42,0.0,1012,35,10,167,9
KK Nagar ATM,2017-03-25,7,6,1,29100,27600,1500,SATURDAY,NH,H,WHH,35,19,11.6,7,6,04:07 AM,04:10 PM,06:24 AM,06:34 PM,12,29,29,30,11,0,42,0.0,1012,35,10,167,9
Christ College ATM,2017-03-25,159,67,92,820800,492800,328000,SATURDAY,NH,H,WHH,35,19,11.6,7,6,04:07 AM,04:10 PM,06:24 AM,06:34 PM,12,29,29,30,11,0,42,0.0,1012,35,10,167,9
Big Street ATM,2017-03-26,47,12,35,139400,55700,83700,SUNDAY,NH,H,HHW,36,20,11.6,7,0,04:55 AM,05:04 PM,06:24 AM,06:34 PM,13,29,29,29,14,2,43,0.0,1012,36,10,150,10
Mount Road ATM,2017-03-26,40,8,32,61100,8400,52700,SUNDAY,NH,H,HHW,36,20,11.6,7,0,04:55 AM,05:04 PM,06:24 AM,06:34 PM,13,29,29,29,14,2,43,0.0,1012,36,10,150,10
Airport ATM,2017-03-26,19,12,7,76700,50400,26300,SUNDAY,NH,H,HHW,36,20,11.6,7,0,04:55 AM,05:04 PM,06:24 AM,06:34 PM,13,29,29,29,14,2,43,0.0,1012,36,10,150,10
