ATM Name,Transaction Date,Total amount Withdrawn,Weekday,Type,isYesterdayHoliday,isHoliday,isTomorrowHoliday,isYesterdayWeekday,isTomorrowWeekday,isWeekday,Rainfall Status
Airport ATM,2011-02-17,292300,THURSDAY,No Holiday,True,False,False,True,True,True,No Rain
KK Nagar ATM,2011-02-17,998300,THURSDAY,No Holiday,True,False,False,True,True,True,No Rain
Christ College ATM,2011-02-17,292600,THURSDAY,No Holiday,True,False,False,True,True,True,No Rain
Big Street ATM,2011-02-18,141800,FRIDAY,No Holiday,False,False,True,True,False,True,No Rain
Mount Road ATM,2011-02-18,484200,FRIDAY,No Holiday,False,False,True,True,False,True,No Rain
Airport ATM,2011-02-18,242200,FRIDAY,No Holiday,False,False,True,True,False,True,No Rain
KK Nagar ATM,2011-02-18,543000,FRIDAY,No Holiday,False,False,True,True,False,True,No Rain
Christ College ATM,2011-02-18,200600,FRIDAY,No Holiday,False,False,True,True,False,True,No Rain
Big Street ATM,2011-02-19,54300,SATURDAY,Restricted Holiday,False,True,False,True,False,False,Light Rain
Mount Road ATM,2011-02-19,441400,SATURDAY,Restricted Holiday,False,True,False,True,False,False,Light Rain
Airport ATM,2011-02-19,454200,SATURDAY,Restricted Holiday,False,True,False,True,False,False,Light Rain
KK Nagar ATM,2011-02-19,858300,SATURDAY,Restricted Holiday,False,True,False,True,False,False,Light Rain
Christ College ATM,2011-02-19,399800,SATURDAY,Restricted Holiday,False,True,False,True,False,False,Light Rain
Big Street ATM,2011-02-20,56000,SUNDAY,No Holiday,True,False,False,False,True,False,Light Rain
Mount Road ATM,2011-02-20,407300,SUNDAY,No Holiday,True,False,False,False,True,False,Light Rain
Airport ATM,2011-02-20,347800,SUNDAY,No Holiday,True,False,False,False,True,False,Light Rain
KK Nagar ATM,2011-02-20,302100,SUNDAY,No Holiday,True,False,False,False,True,False,Light Rain
Christ College ATM,2011-02-20,169400,SUNDAY,No Holiday,True,False,False,False,True,False,Light Rain
Big Street ATM,2011-02-21,64200,MONDAY,No Holiday,False,False,False,False,True,True,Light Rain
Mount Road ATM,2011-02-21,456400,MONDAY,No Holiday,False,False,False,False,True,True,Light Rain
Airport ATM,2011-02-21,285600,MONDAY,No Holiday,False,False,False,False,True,True,Light Rain
KK Nagar ATM,2011-02-21,659200,MONDAY,No Holiday,False,False,False,False,True,True,Light Rain
Christ College ATM,2011-02-21,143200,MONDAY,No Holiday,False,False,False,False,True,True,Light Rain
Big Street ATM,2011-02-22,142500,TUESDAY,No Holiday,False,False,False,True,True,True,Light Rain
Mount Road ATM,2011-02-22,479200,TUESDAY,No Holiday,False,False,False,True,True,True,Light Rain
Airport ATM,2011-02-22,350400,TUESDAY,No Holiday,False,False,False,True,True,True,Light Rain
KK Nagar ATM,2011-02-22,624300,TUESDAY,No Holiday,False,False,False,True,True,True,Light Rain
Christ College ATM,2011-02-22,370800,TUESDAY,No Holiday,False,False,False,True,True,True,Light Rain
Big Street ATM,2011-02-23,91900,WEDNESDAY,No Holiday,False,False,False,True,True,True,Light Rain
Mount Road ATM,2011-02-23,379700,WEDNESDAY,No Holiday,False,False,False,True,True,True,Light Rain
Airport ATM,2011-02-23,434100,WEDNESDAY,No Holiday,False,False,False,True,True,True,Light Rain
KK Nagar ATM,2011-02-23,704500,WEDNESDAY,No Holiday,False,False,False,True,True,True,Light Rain
Christ College ATM,2011-02-23,265700,WEDNESDAY,No Holiday,False,False,False,True,True,True,Light Rain
Big Street ATM,2011-02-24,74700,THURSDAY,No Holiday,False,False,False,True,True,True,Light Rain
Mount Road ATM,2011-02-24,391600,THURSDAY,No Holiday,False,False,False,True,True,True,Light Rain
Airport ATM,2011-02-24,205700,THURSDAY,No Holiday,False,False,False,True,True,True,Light Rain
