ATM Name,Total amount Withdrawn,Weekday,Festival Religion,Working Day,Holiday Sequence,Day,Month,Year,Rainfall_Status
Airport ATM,291300,FRIDAY,NH,W,WWH,25,2,2011,Light Rain
KK Nagar ATM,552700,FRIDAY,NH,W,WWH,25,2,2011,Light Rain
Christ College ATM,200500,FRIDAY,NH,W,WWH,25,2,2011,Light Rain
Big Street ATM,119600,SATURDAY,NH,H,WHH,26,2,2011,No Rain
Mount Road ATM,470600,SATURDAY,NH,H,WHH,26,2,2011,No Rain
Airport ATM,608300,SATURDAY,NH,H,WHH,26,2,2011,No Rain
KK Nagar ATM,780100,SATURDAY,NH,H,WHH,26,2,2011,No Rain
Christ College ATM,375800,SATURDAY,NH,H,WHH,26,2,2011,No Rain
Big Street ATM,18000,SUNDAY,NH,H,HHW,27,2,2011,No Rain
Mount Road ATM,8100,SUNDAY,NH,H,HHW,27,2,2011,No Rain
Airport ATM,300000,SUNDAY,NH,H,HHW,27,2,2011,No Rain
KK Nagar ATM,191700,SUNDAY,NH,H,HHW,27,2,2011,No Rain
Christ College ATM,283700,SUNDAY,NH,H,HHW,27,2,2011,No Rain
Big Street ATM,149000,MONDAY,NH,W,HWW,28,2,2011,No Rain
Mount Road ATM,572800,MONDAY,NH,W,HWW,28,2,2011,No Rain
Airport ATM,354200,MONDAY,NH,W,HWW,28,2,2011,No Rain
KK Nagar ATM,960900,MONDAY,NH,W,HWW,28,2,2011,No Rain
Christ College ATM,398900,MONDAY,NH,W,HWW,28,2,2011,No Rain
Big Street ATM,105800,TUESDAY,NH,W,WWW,1,3,2011,No Rain
Mount Road ATM,730000,TUESDAY,NH,W,WWW,1,3,2011,No Rain
Airport ATM,519100,TUESDAY,NH,W,WWW,1,3,2011,No Rain
KK Nagar ATM,1041900,TUESDAY,NH,W,WWW,1,3,2011,No Rain
Christ College ATM,479800,TUESDAY,NH,W,WWW,1,3,2011,No Rain
Big Street ATM,143300,WEDNESDAY,NH,W,WWW,2,3,2011,No Rain
Mount Road ATM,610800,WEDNESDAY,NH,W,WWW,2,3,2011,No Rain
Airport ATM,616800,WEDNESDAY,NH,W,WWW,2,3,2011,No Rain
KK Nagar ATM,1043200,WEDNESDAY,NH,W,WWW,2,3,2011,No Rain
Christ College ATM,638200,WEDNESDAY,NH,W,WWW,2,3,2011,No Rain
Big Street ATM,109100,THURSDAY,H,W,WWW,3,3,2011,Light Rain
Mount Road ATM,766800,THURSDAY,H,W,WWW,3,3,2011,Light Rain
Airport ATM,342800,THURSDAY,H,W,WWW,3,3,2011,Light Rain
KK Nagar ATM,1043500,THURSDAY,H,W,WWW,3,3,2011,Light Rain
Christ College ATM,405100,THURSDAY,H,W,WWW,3,3,2011,Light Rain
Big Street ATM,167100,FRIDAY,NH,W,WWH,4,3,2011,Light Rain
Mount Road ATM,738900,FRIDAY,NH,W,WWH,4,3,2011,Light Rain
Airport ATM,433000,FRIDAY,NH,W,WWH,4,3,2011,Light Rain
KK Nagar ATM,718600,FRIDAY,NH,W,WWH,4,3,2011,Light Rain
Christ College ATM,423900,FRIDAY,NH,W,WWH,4,3,2011,Light Rain
Big Street ATM,116000,SATURDAY,NH,H,WHH,5,3,2011,Light Rain
Mount Road ATM,1005600,SATURDAY,NH,H,WHH,5,3,2011,Light Rain
Airport ATM,585800,SATURDAY,NH,H,WHH,5,3,2011,Light Rain
KK Nagar ATM,751600,SATURDAY,NH,H,WHH,5,3,2011,Light Rain
Christ College ATM,582300,SATURDAY,NH,H,WHH,5,3,2011,Light Rain
Big Street ATM,110200,SUNDAY,NH,H,HHW,6,3,2011,Light Rain
Mount Road ATM,668600,SUNDAY,NH,H,HHW,6,3,2011,Light Rain
Airport ATM,428600,SUNDAY,NH,H,HHW,6,3,2011,Light Rain
KK Nagar ATM,637800,SUNDAY,NH,H,HHW,6,3,2011,Light Rain
Christ College ATM,333400,SUNDAY,NH,H,HHW,6,3,2011,Light Rain
Big Street ATM,111300,MONDAY,NH,W,HWW,7,3,2011,No Rain
